company_id,company_name,industry,company_size
1,Company_0001,Finance,51-200
2,Company_0002,Hospitality,1-50
3,Company_0003,Finance,51-200
4,Company_0004,Finance,1-50
5,Company_0005,Logistics,1000+
6,Company_0006,Retail,201-1000
7,Company_0007,Technology,201-1000
8,Company_0008,Retail,51-200
9,Company_0009,Finance,1-50
10,Company_0010,Retail,1000+
11,Company_0011,Logistics,201-1000
12,Company_0012,Education,1-50
13,Company_0013,Education,1000+
14,Company_0014,Education,1-50
15,Company_0015,Hospitality,51-200
16,Company_0016,Finance,51-200
17,Company_0017,Manufacturing,1-50
18,Company_0018,Manufacturing,1000+
19,Company_0019,Finance,201-1000
20,Company_0020,Logistics,201-1000
21,Company_0021,Hospitality,1-50
22,Company_0022,Finance,1000+
23,Company_0023,Healthcare,51-200
24,Company_0024,Manufacturing,1-50
25,Company_0025,Technology,1-50
26,Company_0026,Hospitality,51-200
27,Company_0027,Finance,201-1000
28,Company_0028,Education,201-1000
29,Company_0029,Manufacturing,51-200
30,Company_0030,Manufacturing,1-50
31,Company_0031,Technology,1-50
32,Company_0032,Logistics,201-1000
33,Company_0033,Technology,1-50
34,Company_0034,Hospitality,1-50
35,Company_0035,Technology,1-50
36,Company_0036,Hospitality,51-200
37,Company_0037,Education,1000+
38,Company_0038,Finance,201-1000
39,Company_0039,Finance,51-200
40,Company_0040,Logistics,201-1000
41,Company_0041,Retail,1-50
42,Company_0042,Healthcare,201-1000
43,Company_0043,Technology,1-50
44,Company_0044,Hospitality,51-200
45,Company_0045,Logistics,1-50
46,Company_0046,Education,51-200
47,Company_0047,Technology,1-50
48,Company_0048,Logistics,51-200
49,Company_0049,Education,1000+
50,Company_0050,Education,1-50
51,Company_0051,Technology,1000+
52,Company_0052,Healthcare,51-200
53,Company_0053,Retail,201-1000
54,Company_0054,Manufacturing,1-50
55,Company_0055,Finance,51-200
56,Company_0056,Healthcare,1-50
57,Company_0057,Finance,1-50
58,Company_0058,Logistics,1-50
59,Company_0059,Hospitality,51-200
60,Company_0060,Education,1-50
61,Company_0061,Retail,201-1000
62,Company_0062,Manufacturing,51-200
63,Company_0063,Technology,1-50
64,Company_0064,Finance,1-50
65,Company_0065,Healthcare,51-200
66,Company_0066,Logistics,51-200
67,Company_0067,Manufacturing,1-50
68,Company_0068,Logistics,201-1000
69,Company_0069,Education,1-50
70,Company_0070,Logistics,1-50
71,Company_0071,Education,51-200
72,Company_0072,Manufacturing,201-1000
73,Company_0073,Technology,1-50
74,Company_0074,Retail,51-200
75,Company_0075,Technology,1-50
76,Company_0076,Technology,51-200
77,Company_0077,Technology,51-200
78,Company_0078,Retail,1-50
79,Company_0079,Technology,1-50
80,Company_0080,Education,201-1000
81,Company_0081,Finance,51-200
82,Company_0082,Technology,51-200
83,Company_0083,Technology,1-50
84,Company_0084,Logistics,1000+
85,Company_0085,Manufacturing,51-200
86,Company_0086,Hospitality,51-200
87,Company_0087,Education,1000+
88,Company_0088,Retail,1000+
89,Company_0089,Logistics,201-1000
90,Company_0090,Manufacturing,1-50
91,Company_0091,Hospitality,51-200
92,Company_0092,Retail,1-50
93,Company_0093,Retail,51-200
94,Company_0094,Manufacturing,51-200
95,Company_0095,Retail,1-50
96,Company_0096,Finance,1-50
97,Company_0097,Finance,1-50
98,Company_0098,Logistics,1-50
99,Company_0099,Logistics,1-50
100,Company_0100,Manufacturing,1-50
101,Company_0101,Retail,201-1000
102,Company_0102,Education,1-50
103,Company_0103,Retail,201-1000
104,Company_0104,Hospitality,201-1000
105,Company_0105,Healthcare,51-200
